Local time,Open,High,Low,Close,Volume
14.09.2019 01:30:00.000 GMT+0430,1488.500,1488.500,1488.500,1488.500,0
15.09.2019 01:30:00.000 GMT+0430,1488.500,1488.500,1488.500,1488.500,0
16.09.2019 01:30:00.000 GMT+0430,1506.838,1512.065,1495.815,1497.898,69795100.45050001
17.09.2019 01:30:00.000 GMT+0430,1498.618,1507.008,1493.408,1500.898,50385843.932799995
18.09.2019 01:30:00.000 GMT+0430,1501.085,1511.558,1483.155,1493.642,44802314.1921
19.09.2019 01:30:00.000 GMT+0430,1494.088,1504.468,1488.908,1498.428,52999530.851900004
20.09.2019 01:30:00.000 GMT+0430,1499.218,1516.978,1497.878,1516.598,46017531.24609999
21.09.2019 01:30:00.000 GMT+0430,1516.598,1516.598,1516.598,1516.598,0
22.09.2019 00:30:00.000 GMT+0330,1516.598,1516.598,1516.598,1516.598,0
23.09.2019 00:30:00.000 GMT+0330,1513.988,1526.748,1510.968,1521.798,52685543.0009
24.09.2019 00:30:00.000 GMT+0330,1522.078,1535.638,1515.525,1531.798,63273222.1782
25.09.2019 00:30:00.000 GMT+0330,1531.298,1535.048,1500.375,1503.398,61493002.474199995
26.09.2019 00:30:00.000 GMT+0330,1503.928,1512.235,1500.108,1504.198,55144187.331300005
27.09.2019 00:30:00.000 GMT+0330,1504.195,1507.308,1486.768,1496.498,62098397.314600006
28.09.2019 00:30:00.000 GMT+0330,1496.498,1496.498,1496.498,1496.498,0
29.09.2019 00:30:00.000 GMT+0330,1496.498,1496.498,1496.498,1496.498,0
30.09.2019 00:30:00.000 GMT+0330,1494.568,1500.465,1464.445,1471.998,56749744.95200001
01.10.2019 00:30:00.000 GMT+0330,1472.048,1487.138,1459.008,1478.222,64414064.5861
02.10.2019 00:30:00.000 GMT+0330,1478.638,1505.048,1474.455,1499.398,63678267.896400005
03.10.2019 00:30:00.000 GMT+0330,1499.488,1519.488,1495.725,1504.698,61625827.342499994
04.10.2019 00:30:00.000 GMT+0330,1505.348,1515.658,1495.927,1504.298,80346802.4136
